User Input|Intent
"Vegan choices available?"|vegan_options

"Can I book a table for a large group?"|large_group_booking
"How many people can you accommodate in a group?"|large_group_booking
"Is group booking available?"|large_group_booking
"Booking for large parties?"|large_group_booking
"Can I reserve for a big group?"|large_group_booking

"What's your most popular dish?"|popular_dish
"Which dish is the favorite here?"|popular_dish
"What is the best-selling item on the menu?"|popular_dish
"Can you recommend your most famous dish?"|popular_dish
"What dish do most people order?"|popular_dish


"What features do you offer?"|bot_capabilities
"Can you list your services?"|bot_capabilities
"Help me understand what you can do"|bot_capabilities
"What can you assist with?"|bot_capabilities
"What are your functions?"|bot_capabilities
"Could you tell me about your abilities?"|bot_capabilities
"What tasks can you perform?"|bot_capabilities
"Show me your range of services."|bot_capabilities
"What kind of help can you offer?"|bot_capabilities
"What services do you provide?"|bot_capabilities
"How can you be of assistance?"|bot_capabilities
"What are you capable of doing?"|bot_capabilities
"What support do you offer?"|bot_capabilities
"Explain your functionalities."|bot_capabilities
"Can you describe your features?"|bot_capabilities
"What can you do?"|bot_capabilities
"Help"|bot_capabilities

"Book a table for next Friday"|date
"I need a reservation for September 10th"|date

"Table for two people"|people
"Reservation for a party of four"|people

"Is my reservation confirmed?"|confirm
"Please confirm my booking"|confirm

"What time can I reserve a table?"|time
"I'd like to book for 7 PM"|time
