Intent|Response
bot_capabilities|"My abilities include making reservations, showing you our diverse menu, and helping with general inquiries about your dining experience. As an administrator, you can also view and clear all existing reservations."
bot_capabilities|"Not only can I book your table, but I can also guide you through our menu selections and answer any restaurant-related questions. Plus, admins have the privilege of accessing and managing all reservation records."
bot_capabilities|"I specialize in securing table reservations, showcasing our menu, and offering insights into our restaurant's specialties and services. Admin users can additionally view the full list of reservations and have the option to clear them as needed."

change_name|"Could you please tell me your name?"
change_name|"I don't seem to have your name. What should I call you?"
change_name|"May I know your name for our records?"
change_name|"Please provide your name for a more personalized experience."
change_name|"To assist you better, what's your name?"
change_name|"For a more personalized service, could you tell me your name?"
change_name|"What name do you prefer to go by?"
change_name|"I'd like to address you properly. What is your name?"
change_name|"Before we proceed, may I have your name?"
change_name|"I'm eager to know you better. What's your name?"
change_name|"Let's get acquainted! What's your name?"
change_name|"So that I can assist you better, may I ask your name?"
change_name|"For our conversation, can you tell me your name?"
change_name|"I'd love to know who I'm talking to. What's your name?"
change_name|"Please share your name so I can assist you more personally."



change_name_specified|"Your name has been updated."
change_name_specified|"I'll remember to call you by your new name."
change_name_specified|"Alright, I've updated your name in my system."
change_name_specified|"Understood, I have changed your name as requested."
change_name_specified|"Your name change has been successfully processed."
change_name_specified|"Got it! Your new name has been recorded."
change_name_specified|"The name change is complete. I'll use your new name from now on."
change_name_specified|"Consider it done! Your name has been updated."
change_name_specified|"Okay, I've noted your new name in our records."
change_name_specified|"Your request has been fulfilled, your name is now updated."
change_name_specified|"I have made the changes to your name as you asked."
change_name_specified|"The update is complete. I will refer to you by your new name."
change_name_specified|"Your name update request has been successfully implemented."
change_name_specified|"Sure thing! I've changed your name as per your request."
change_name_specified|"I've taken care of your name change. It's all updated now."
change_name_specified|"Your new name has been set. I'll remember that."
change_name_specified|"I've updated your name. Is there anything else you need?"

ask_name|"Your name is {name}."
ask_name|"As far as I remember, you are {name}."
ask_name|"I believe you are {name}."
ask_name|"You told me to call you {name}."
ask_name|"If my memory serves correctly, you go by the name {name}."
ask_name|"The name I have for you in my circuits is {name}."
ask_name|"According to my data, you prefer to be called {name}."
ask_name|"In my digital brain, you're stored as {name}."
ask_name|"Last time I checked, you were {name}. Has anything changed?"
ask_name|"Let me check my database... Ah, yes, you're {name}!"
ask_name|"From our previous conversations, I remember you as {name}."
ask_name|"My processors recall that your name is {name}."
ask_name|"In my memory banks, you are registered as {name}."
ask_name|"After a quick data retrieval, I confirm you are {name}."
ask_name|"I'm quite certain you told me your name was {name}."
ask_name|"The name etched in my circuits for you is {name}."
ask_name|"You're definitely {name}, unless you've had a name change recently!"
ask_name|"Consulting my records... Ah, you are known as {name}!"


view_menu|"Sure, here's our menu!"
view_menu|"Let me get the menu for you."
view_menu|"Here's the menu for your perusal."
view_menu|"Allow me to present our selection of dishes."
view_menu|"Take a look at our delicious menu options!"
view_menu|"I'll bring up our menu right away."
view_menu|"Here you go, our menu for your consideration."
view_menu|"Certainly! Displaying our menu now."
view_menu|"I'm happy to show you what we offer. Here's our menu."
view_menu|"Feast your eyes on our range of culinary delights!"
view_menu|"Here's what we have to offer on our menu today."
view_menu|"Let's explore our menu together. Here it is!"
view_menu|"I can help with that. Here’s the menu for you."
view_menu|"One menu, coming right up!"
view_menu|"Sure thing, have a look at our diverse menu."
view_menu|"Please have a look at our menu and let me know what interests you."
view_menu|"Absolutely! Here's the full menu for your dining pleasure."
view_menu|"Ready to order? Here’s what we have on the menu."
view_menu|"You’re in for a treat! Check out our menu here."
view_menu|"Our menu is packed with delicious options. Have a look!"
view_menu|"Here’s our selection of dishes. Anything catch your eye?"
view_menu|"I've got you covered. This is our current menu."
view_menu|"Feeling hungry? Take a peek at our menu."



reserve_table|"I can help you with that reservation. Which date would you like?"
reserve_table|"Let's book a table for you! Which date would you like?"
reserve_table|"Sure, I can help with that. What date are you looking to book?"
reserve_table|"Let's get your table booked. Which date would you like?"


ask_for_date|"What date should I set for your reservation?"
ask_for_date|"Could you tell me which date you'd like to book the table for?"
ask_for_date|"Please specify the date for your booking."
ask_for_date|"On what date are you planning to visit us?"
ask_for_date|"Can you provide the date for your table reservation?"

ask_for_time|"At what time would you like to reserve the table?"
ask_for_time|"Could you please specify the time for your reservation?"
ask_for_time|"What time should I book your table for?"
ask_for_time|"Please let me know the time you plan to arrive."
ask_for_time|"Can you tell me the preferred time for your booking?"

ask_for_people|"For how many guests should I reserve the table?"
ask_for_people|"Could you please tell me the number of people for the reservation?"
ask_for_people|"How many people will be joining you?"
ask_for_people|"Please let me know the headcount for the booking."
ask_for_people|"Can you specify the number of guests for the table?"


confirm|"Your reservation is set for {people} people on {date} at {time}."
confirm|"All set! I've booked a table for {people} on {date} at {time}."
confirm|"I have confirmed your reservation for {people} guests on {date} at {time}."
confirm|"Your table for {people} is booked for {date} at {time}."
confirm|"Reservation confirmed: {people} people, {date}, at {time}."






date|"What time would you like to come in?"
date|"Could you please tell me the time you're planning to arrive?"

time|"For how many people should I reserve the table?"
time|"How many guests will be joining?"

people|"Got it! So a table for [number] on [date] at [time]. Shall I confirm this?"
people|"Alright, a table for [number] people. Shall I book it for [date] at [time]?"


